"DistTypeID","DistTypeName","OnOffSwitch","Description","IsStandReplacing","IsMultiYear","MultiYearCount"
184,"25% Commercial thinning",0,"This disturbance type can be used to simulate a 25% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
185,"30% Commercial thinning",0,"This disturbance type can be used to simulate a 30% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
186,"35% Commercial thinning",0,"This disturbance type can be used to simulate a 35% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
187,"40% Commercial thinning",0,"This disturbance type can be used to simulate a 40% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
188,"45% Commercial thinning",0,"This disturbance type can be used to simulate a 45% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
189,"50% Commercial thinning",0,"This disturbance type can be used to simulate a 50% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
190,"55% Commercial thinning",0,"This disturbance type can be used to simulate a 55% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
191,"60% Commercial thinning",0,"This disturbance type can be used to simulate a 60% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
192,"65% Commercial thinning",0,"This disturbance type can be used to simulate a 65% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
193,"70% Commercial thinning",0,"This disturbance type can be used to simulate a 70% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
194,"75% Commercial thinning",0,"This disturbance type can be used to simulate a 75% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
195,"94% clearcut",0,"Alberta SRD clearcut 94% utilization",1,0,0
196,"97% clearcut",0,"Sylva CPRS clearcut 97% utilization",1,0,0
197,"85% precommercial thinning",0,"Sylva EPC precommercial thinning 85%",0,0,0
198,"roads and landings",0,"temporary road and landing construction",1,0,0
199,"planting",0,"planting (FM activity, not afforestation!)",1,0,0
200,"Stand Replacing Natural Succession",0,"Stand Replacing Natural Succession",1,0,0
201,"20% Commercial thinning",0,"This disturbance type can be used to simulate a 20% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
202,"15% Commercial thinning",0,"This disturbance type can be used to simulate a 15% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
203,"10% Commercial thinning",0,"This disturbance type can be used to simulate a 10% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.",0,0,0
204,"Clearcut harvesting without salvage",0,"Same as the default Clearcut harvesting disturbance type, except all snags are transferred to the Medium pool",1,0,0
205,"Deforestation-agriculture-Salvage uprooting and decay",0,"Deforestation-agriculture-Salvage uprooting and decay",1,0,0
206,"Deforestation-agriculture-Salvage uprooting and burn",0,"Deforestation-agriculture-Salvage uprooting and burn",1,0,0
207,"Deforestation-forestry-Salvage uprooting and decay",0,"Deforestation-forestry-Salvage uprooting and decay",1,0,0
208,"Deforestation-forestry-Salvage uprooting and burn",0,"Deforestation-forestry-Salvage uprooting and burn",1,0,0
209,"Deforestation-hydro reservoir-burn",0,"Deforestation-hydro reservoir-burn",1,0,0
210,"Deforestation-industry-Salvage uprooting and decay",0,"Deforestation-industry-Salvage uprooting and decay",1,0,0
211,"Deforestation-industry-Salvage uprooting and burn",0,"Deforestation-industry-Salvage uprooting and burn",1,0,0
212,"Deforestation-oil and gas-Salvage uprooting and decay",0,"Deforestation-oil and gas-Salvage uprooting and decay",1,0,0
213,"Deforestation-oil and gas-Salvage uprooting and burn",0,"Deforestation-oil and gas-Salvage uprooting and burn",1,0,0
214,"Deforestation-peat extraction-Uprooting and decay",0,"Deforestation-peat extraction-Uprooting and decay",1,0,0
215,"Deforestation-peat extraction-Uprooting and burn",0,"Deforestation-peat extraction-Uprooting and burn",1,0,0
216,"Deforestation-recreational-Salvage uprooting and decay",0,"Deforestation-recreational-Salvage uprooting and decay",1,0,0
217,"Deforestation-recreational-Salvage uprooting and burn",0,"Deforestation-recreational-Salvage uprooting and burn",1,0,0
218,"Deforestation-urban-Salvage uprooting and decay",0,"Deforestation-urban-Salvage uprooting and decay",1,0,0
219,"Deforestation-urban-Salvage uprooting and burn",0,"Deforestation-urban-Salvage uprooting and burn",1,0,0
220,"Deforestation-urban - flooded-Salvage uprooting and decay",0,"Deforestation-urban - flooded-Salvage uprooting and decay",1,0,0
221,"Deforestation-urban - flooded-Salvage uprooting and burn",0,"Deforestation-urban - flooded-Salvage uprooting and burn",1,0,0
222,"Natural Succession - Stand mortality",1,"For Woodstock users who explicitly model natural succession in stands as events. Immediate stock changes are associatied with this disturbance type because Woodstock forces the age of the stand to be reset to zero.",1,0,0
223,"Deforestation-mining-Salvage uprooting and decay",1,"Deforestation-mining-Salvage uprooting and decay",1,0,0
224,"Deforestation-mining-Salvage uprooting and burn",1,"Deforestation-mining-Salvage uprooting and burn",1,0,0
225,"Deforestation-municipal-Salvage uprooting and decay",1,"Deforestation-municipal-Salvage uprooting and decay",1,0,0
226,"Deforestation-municipal-Salvage uprooting and burn",1,"Deforestation-municipal-Salvage uprooting and burn",1,0,0
227,"Deforestation-peat mining-Uprooting and decay",1,"Deforestation-peat mining-Uprooting and decay",1,0,0
228,"Deforestation-peat mining-Uprooting and burn",1,"Deforestation-peat mining-Uprooting and burn",1,0,0
229,"Deforestation-recreation-salvage and burn",1,"Deforestation-recreation-salvage and burn",1,0,0
230,"Deforestation-recreation-salvage and decay",1,"Deforestation-recreation-salvage and decay",1,0,0
231,"Deforestation-recreation-Salvage uprooting and decay",1,"Deforestation-recreation-Salvage uprooting and decay",1,0,0
232,"Deforestation-recreation-Salvage uprooting and burn",1,"Deforestation-recreation-Salvage uprooting and burn",1,0,0
233,"Deforestation-transportation-Salvage uprooting and decay",1,"Deforestation-transportation-Salvage uprooting and decay",1,0,0
234,"Deforestation-transportation-Salvage uprooting and burn",1,"Deforestation-transportation-Salvage uprooting and burn",1,0,0
235,"Deforestation-hydro reservoir - Salvage and burn",1,"Deforestation-hydro reservoir - Salvage and burn",1,0,0
236,"Firewood collection-SW",1,"SW firewood collection from small private woodlots-live biomass",0,0,0
237,"Firewood collection-HW",1,"HW firewood collection from small private woodlots- live biomass",0,0,0
238,"Firewood collection-post logging",1,"Firewood collection from DOM following commercial logging",0,0,0
239,"Firewood collection-post natural disturbance",1,"Firewood collection from DOM following natural disturbance",0,0,0
240,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation > 85%",1,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation > 85%",0,0,0
241,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 76-85%",1,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 76-85%",0,0,0
242,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 66-75%",1,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 66-75%",0,0,0
243,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 56-65%",1,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 56-65%",0,0,0
244,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 46-55%",1,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 46-55%",0,0,0
245,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 36-45%",1,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 36-45%",0,0,0
246,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 26-35%",1,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 26-35%",0,0,0
247,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 16-25%",1,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 16-25%",0,0,0
248,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation < 16%",1,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation < 16%",0,0,0
249,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation > 85%",1,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation > 85%",0,0,0
250,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 76-85%",1,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 76-85%",0,0,0
251,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 66-75%",1,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 66-75%",0,0,0
252,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 56-65%",1,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 56-65%",0,0,0
253,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 46-55%",1,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 46-55%",0,0,0
254,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 36-45%",1,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 36-45%",0,0,0
255,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 26-35%",1,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 26-35%",0,0,0
256,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 16-25%",1,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 16-25%",0,0,0
257,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation < 16%",1,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation < 16%",0,0,0
258,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation > 85%",1,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation > 85%",0,0,0
259,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 76-85%",1,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 76-85%",0,0,0
260,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 66-75%",1,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 66-75%",0,0,0
261,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 56-65%",1,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 56-65%",0,0,0
262,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 46-55%",1,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 46-55%",0,0,0
263,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 36-45%",1,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 36-45%",0,0,0
264,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 26-35%",1,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 26-35%",0,0,0
265,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 16-25%",1,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 16-25%",0,0,0
266,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation < 16%",1,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation < 16%",0,0,0
